iteration,n_candidates,reward_time_ms,total_time_ms
29,782,611.0396385192871,658.9787006378174
30,781,595.7529544830322,645.8661556243896
31,780,601.9487380981445,650.458812713623
32,779,554.8183917999268,604.8696041107178
33,778,591.3922786712646,638.5786533355713
34,777,599.7920036315918,649.2292881011963
35,776,615.2670383453369,663.5870933532715
36,775,582.017183303833,633.8274478912354
37,774,574.9750137329102,624.7377395629883
38,773,593.2927131652832,645.6484794616699
39,772,579.8871517181396,630.0129890441895
40,771,582.3941230773926,638.0224227905273
41,770,592.1163558959961,640.6517028808594
42,769,584.7494602203369,636.2292766571045
43,768,587.1233940124512,635.4408264160156
44,767,583.6830139160156,633.5973739624023
45,766,579.2498588562012,627.0115375518799
46,765,575.2568244934082,624.861478805542
47,764,590.7890796661377,638.2975578308105
48,763,577.023983001709,627.9599666595459
49,762,579.8344612121582,629.5971870422363
50,761,550.4543781280518,600.0850200653076
51,760,567.3024654388428,615.0872707366943
52,759,558.849573135376,610.0094318389893
53,758,596.2677001953125,645.83420753479
54,757,570.2085494995117,622.0235824584961
55,756,560.443639755249,608.1662178039551
56,755,575.9320259094238,624.8664855957031
57,754,564.4989013671875,611.515998840332
58,753,552.4506568908691,603.2476425170898
59,752,565.7339096069336,618.4186935424805
60,751,599.6425151824951,652.7009010314941
61,750,578.9427757263184,627.1910667419434
62,749,556.2710762023926,606.184720993042
63,748,549.8256683349609,596.9865322113037
64,747,579.0114402770996,634.3886852264404
65,746,553.6818504333496,601.1049747467041
66,745,547.288179397583,596.2226390838623
67,744,561.8414878845215,610.2848052978516
68,743,557.7149391174316,608.5915565490723
69,742,544.3024635314941,593.285083770752
70,741,564.8012161254883,617.2959804534912
71,740,551.0845184326172,598.1974601745605
72,739,562.1066093444824,610.2690696716309
73,738,557.2202205657959,609.6553802490234
74,737,557.6064586639404,607.5115203857422
75,736,551.7816543579102,600.0292301177979
76,735,559.9656105041504,610.0845336914062
77,734,562.3958110809326,610.2957725524902
78,733,544.032096862793,596.0416793823242
79,732,549.9541759490967,597.3529815673828
80,731,545.5965995788574,595.7322120666504
81,730,534.01780128479,581.3798904418945
82,729,531.4531326293945,581.0060501098633
83,728,533.2098007202148,583.2452774047852
84,727,571.556568145752,620.8233833312988
85,726,549.0596294403076,598.2096195220947
86,725,540.1639938354492,589.7796154022217
87,724,559.0696334838867,606.395959854126
88,723,569.6365833282471,619.2333698272705
89,722,558.643102645874,605.9465408325195
90,721,533.8013172149658,582.8807353973389
91,720,557.6756000518799,605.3285598754883
92,719,523.0505466461182,570.2304840087891
93,718,536.6108417510986,584.3701362609863
94,717,542.9232120513916,591.9411182403564
95,716,532.1292877197266,579.5226097106934
96,715,539.4203662872314,588.0460739135742
97,714,537.4255180358887,586.9464874267578
98,713,550.7528781890869,599.4255542755127
99,712,552.6390075683594,603.2106876373291
100,711,559.3264102935791,606.3222885131836
101,710,551.9094467163086,601.3410091400146
102,709,545.0336933135986,600.9809970855713
103,708,556.9179058074951,602.0762920379639
104,707,548.4476089477539,595.0853824615479
105,706,545.9108352661133,591.4230346679688
106,705,539.6575927734375,587.6882076263428
107,704,518.6574459075928,567.8145885467529
108,703,529.2572975158691,580.4102420806885
109,702,549.9796867370605,596.1923599243164
110,701,550.743579864502,599.3268489837646
111,700,548.4192371368408,594.681978225708
112,699,548.4192371368408,596.9526767730713
113,698,535.0017547607422,580.0318717956543
114,697,528.7442207336426,576.4057636260986
115,696,540.7648086547852,587.5210762023926
116,695,519.9666023254395,567.7943229675293
